设备编号,下单时间,订单编号,购买数量（个）,手续费（元）,总金额（元）,支付状态,出货状态,收款方,退款金额（元）,购买用户,商品ID,商品详情,省市区,软件版本
113095,2018/9/23 16:37,113095qr15376919143085,1,0.04,3.5,支付宝,出货成功,平台,0.0,os-xL0nV0TYsLxn_Vo3daOkytDzY,商品0015,东鹏特饮X1,广东省东莞市,V3.0.33;rk3288;(900x1440)
112669,2018/9/23 15:48,112669qr15376889262750,1,0.04,3.5,微信,出货成功,平台,0.0,ooCjVwHy7GDwz1KlP7KAlgA9hLHQ,商品0015,东鹏特饮X1,广东省中山市,V3.0.31;rk3288;(900x1440)
113089,2018/9/23 15:13,113089qr15376868247479,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0kZMXRXnsiJ4Ar-fnua4gvE,商品0015,东鹏特饮X1,广东省东莞市,V3.0.33;rk3288;(900x1440)
112785,2018/9/23 15:06,112785qr15376863699117,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0qgXTS698BDhae8Xc80KZcs,商品0015,东鹏特饮X1,广东省广州市从化区,V3.0.35;rk3288;(900x1440)
112792,2018/9/23 14:39,112792qr15376847863593,1,0.04,3.5,微信,出货成功,平台,0.0,ooCjVwFEn5O9sl7XvAOszdTVvRIQ,商品0015,东鹏特饮X1,广东省广州市天河区,V3.0.35;rk3288;(900x1440)
112670,2018/9/23 14:02,112670qr15376825584597,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0gWTegXGxWlAupND0Kk9dJI,商品0015,东鹏特饮X1,广东省中山市,V3.0.31;rk3288;(900x1440)
113084,2018/9/23 13:54,113084qr15376821421583,1,0.04,3.5,微信,出货成功,平台,0.0,ooCjVwP3JiYA8ZZDG_S6RI83g7M0,商品0015,东鹏特饮X1,广东省东莞市,V3.0.33;rk3288;(900x1440)
113034,2018/9/23 13:26,113034qr15376803988630,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0lp-4i4dCfzr79qO3YEqMKw,商品0015,东鹏特饮X1,广东省广州市番禺区,V3.0.37;rk3288;(900x1440)
112535,2018/9/23 13:25,112535qr15376803651941,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0neSriK74z2jL5psCqSz4Ls,商品0015,东鹏特饮X1,广东省广州市番禺区,V3.0.37;rk3288;(900x1440)
112667,2018/9/23 13:11,112667qr15376795116010,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0hWbel7JgxaoUQLC-68g6vo,商品0015,东鹏特饮X1,广东省中山市,V3.0.31;rk3288;(900x1440)
112670,2018/9/23 12:54,112670qr15376784576548,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0vZR50zo54Ra4vflWZnakNE,商品0015,东鹏特饮X1,广东省中山市,V3.0.31;rk3288;(900x1440)
112813,2018/9/23 12:47,112813qr15376780977125,1,0.04,3.5,微信,出货成功,平台,0.0,ooCjVwD7dMBT59oXjurTi0o6RksE,商品0015,东鹏特饮X1,广东省东莞市,V3.0.35;rk3288;(900x1440)
112667,2018/9/23 12:25,112667qr15376767493016,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0j0K5OXmJq6Hsuhk-Yl5DTM,商品0015,东鹏特饮X1,广东省中山市,V3.0.31;rk3288;(900x1440)
113089,2018/9/23 12:01,113089qr15376752694675,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0prRvBXvfOZRnrbB4t2_cmc,商品0015,东鹏特饮X1,广东省东莞市,V3.0.33;rk3288;(900x1440)
113070,2018/9/23 11:54,113070qr15376748416818,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0gwudeXSDgjNmSh5bmDjNd0,商品0015,东鹏特饮X1,广东省东莞市,V3.0.35;rk3288;(900x1440)
113133,2018/9/23 11:50,113133qr15376746976136,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0k_du1ttxbaEsObRcVKKOx4,商品0015,东鹏特饮X1,广东省佛山市南海区,V3.0.37;rk3288;(900x1440)
112667,2018/9/23 11:43,112667qr15376742096831,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0pQiUkn3eTX6LchQotFM1Ek,商品0015,东鹏特饮X1,广东省中山市,V3.0.31;rk3288;(900x1440)
112785,2018/9/23 11:36,112785qr15376737927836,1,0.04,3.5,支付宝,出货成功,平台,0.0,os-xL0sY-tQMHda7UKYtCPMPjApE,商品0015,东鹏特饮X1,广东省广州市从化区,V3.0.35;rk3288;(900x1440)
113089,2018/9/23 10:48,113089qr15376709361847,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0tzHb-vCgNwIrRVekdx38oo,商品0015,东鹏特饮X1,广东省东莞市,V3.0.33;rk3288;(900x1440)
112792,2018/9/23 10:45,112792qr15376707037400,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0iImNVabic-ytWC4-IXIVBY,商品0015,东鹏特饮X1,广东省广州市天河区,V3.0.35;rk3288;(900x1440)
112669,2018/9/23 10:37,112669qr15376702567302,1,0.04,3.5,微信,出货中,平台,0.0,os-xL0gwuqb5mQmHXvb2YGBy-kh4,商品0015,东鹏特饮X1,广东省中山市,V3.0.31;rk3288;(900x1440)
112792,2018/9/23 10:27,112792qr15376696595650,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0l9YAUaYtlgGK4ulyok9twY,商品0015,东鹏特饮X1,广东省广州市天河区,V3.0.35;rk3288;(900x1440)
113013,2018/9/23 9:57,113013qr15376678726201,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0goR6JpL1CySat92Aj2Dnwo,商品0015,东鹏特饮X1,广东省深圳市龙岗区,V3.0.35;rk3288;(900x1440)
113013,2018/9/23 9:57,113013qr15376678401988,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0h_4PIDRdbFlq5be9sM8Qs8,商品0015,东鹏特饮X1,广东省深圳市龙岗区,V3.0.35;rk3288;(900x1440)
112692,2018/9/23 9:56,112692qr15376678221535,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0jJRAyWJdeoPm2ZLtLGXriM,商品0015,东鹏特饮X1,广东省东莞市,V3.0.35;rk3288;(900x1440)
112810,2018/9/23 9:48,112810qr15376673275633,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0vvMMN-61eo2oGbdaR75b2k,商品0015,东鹏特饮X1,广东省深圳市,V2.1.55/1.2;rk3288
112909,2018/9/23 9:26,112909qr15376660115959,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0ndTpOdvLk1xDFZNafUF0CQ,商品0015,东鹏特饮X1,广东省广州市越秀区,V3.0.31;rk3288;(900x1440)
113089,2018/9/23 9:00,113089qr15376644414164,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0vhccndW_o0NmJaERepFxog,商品0015,东鹏特饮X1,广东省东莞市,V3.0.33;rk3288;(900x1440)
113544,2018/9/23 8:55,113544qr15376641434029,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0qY5AfnNp5RRTWkRL_2vw94,商品0015,东鹏特饮X1,广东省广州市花都区,V3.0.37.2;rk3288;(900x1440)
113034,2018/9/23 8:43,113034qr15376634235532,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0j_lDixQVO4PsnEYqKtxFVU,商品0015,东鹏特饮X1,广东省广州市番禺区,V3.0.37;rk3288;(900x1440)
112669,2018/9/23 7:56,112669qr15376606275055,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0i3Jc5PkB9QROe94PUGb0KA,商品0015,东鹏特饮X1,广东省中山市,V3.0.31;rk3288;(900x1440)
113109,2018/9/23 7:19,113109qr15376583581031,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0ivvEsnOaz3DDXdv2qx2Yew,商品0015,东鹏特饮X1,广东省广州市天河区,V3.0.33;rk3288;(900x1440)
113013,2018/9/23 7:02,113013qr15376573531036,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0tWRvtuSxODzJakpcU0KZi4,商品0015,东鹏特饮X1,广东省深圳市龙岗区,V3.0.35;rk3288;(900x1440)
112805,2018/9/23 6:31,112805qr15376555419152,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0goqY3yNdKOumKlV3YK_whM,商品0015,东鹏特饮X1,广东省广州市番禺区,V3.0.37;rk3288;(900x1440)
112843,2018/9/23 6:20,112843qr15376548701674,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0piOCXz7ee9_GNfQrRc0Zxg,商品0015,东鹏特饮X1,广东省广州市荔湾区,V3.0.37;rk3288;(900x1440)
112876,2018/9/23 3:48,112876qr15376457521575,1,0.03,3.5,微信,出货成功,平台,0.0,os-xL0vwqhdIkr0hCTZLezHCv7WU,商品0015,东鹏特饮X1,广东省东莞市,V3.0.35;rk3288;(900x1440)
112876,2018/9/23 3:46,112876qr15376455977198,1,0.03,3.5,微信,出货成功,平台,0.0,os-xL0m7m4QXXebco1k9Zo_hd-mU,商品0015,东鹏特饮X1,广东省东莞市,V3.0.35;rk3288;(900x1440)
113612,2018/9/23 3:43,113612qr15376454025407,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0tXp1AOY6oe3bnOzGr0l8a0,商品0015,东鹏特饮X1,广东省东莞市,V3.0.37.2;rk3288;(900x1440)
112678,2018/9/23 3:38,112678qr15376451203902,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0jVb6aeOVOKFrXcMkuC7BBo,商品0015,东鹏特饮X1,广东省广州市白云区,V3.0.35;rk3288;(900x1440)
112678,2018/9/23 3:37,112678qr15376450804555,1,0.04,3.5,微信,出货成功,平台,0.0,ooCjVwDPoTqyImwXGFCEQhzpxRPk,商品0015,东鹏特饮X1,广东省广州市白云区,V3.0.35;rk3288;(900x1440)
112813,2018/9/23 3:24,112813qr15376442853876,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0p0IY3J78b1JUqlETq44D3w,商品0015,东鹏特饮X1,广东省东莞市,V3.0.35;rk3288;(900x1440)
112909,2018/9/23 2:01,112909qr15376393582942,1,0.04,3.5,微信,出货成功,平台,0.0,os-xL0nrkSgPtK0mRgZdEvbxAXC4,商品0015,东鹏特饮X1,广东省广州市越秀区,V3.0.31;rk3288;(900x1440)
113070,2018/9/23 1:39,113070qr15376379398594,1,0.04,3.5,支付宝,出货成功,平台,0.0,os-xL0rUwk7VBSjgEZ4-qYdarXLY,商品0015,东鹏特饮X1,广东省东莞市,V3.0.35;rk3288;(900x1440)
